seed,wind,shape,method,mean_dev,adaptation,n_evade,min_dist,mean_energy,success
0,1.5,polyline,Vector Field,21.84913706429483,21.5,8,1.0723903766426979,0.19369478030842513,31.893687707641195
0,1.5,polyline,Nonlinear Stabilization,19.8649374564723,25.0,9,8.328154190530901,0.18917587479427425,40.53156146179402
0,1.5,polyline,Proposed AI,20.037253396976798,24.0,7,17.876804530657367,0.18732548598130475,40.19933554817276
0,3.0,straight,Pure Pursuit,35.928243723405345,12.5,9,2.030433332781124,0.39836439997051387,21.59468438538206
0,3.0,straight,Line of Sight,19.177184051317262,15.0,9,1.7228794610451565,0.4264868813426526,47.840531561461795
0,3.0,straight,Vector Field,24.776379876038977,66.0,4,19.8073202829621,0.3983393857951328,56.14617940199336
0,3.0,straight,Nonlinear Stabilization,43.31506986940483,0.5,11,9.075702648634621,0.39406990238076905,11.627906976744185
0,3.0,straight,Proposed AI,40.07695513145001,0.5,8,4.014661978432602,0.3725275480946339,9.966777408637874
0,3.0,circle,Pure Pursuit,28.114771089949294,49.5,13,7.720741745170476,0.4092907015769184,20.930232558139537
0,3.0,circle,Line of Sight,29.486258727397747,47.5,14,2.7048026935981575,0.4154500719955935,27.906976744186046
0,3.0,circle,Vector Field,23.7404968268074,11.0,7,1.3018843619328226,0.4216350705186884,28.903654485049834
0,3.0,circle,Nonlinear Stabilization,27.73672635562993,11.5,13,4.813431130204959,0.3863488924756139,11.295681063122924
0,3.0,circle,Proposed AI,32.234438809457274,80.5,8,2.518890854362711,0.38658194909384386,12.624584717607974
0,3.0,polyline,Pure Pursuit,27.543070958376575,12.5,6,2.030433332781124,0.41620854392450823,31.561461794019934
0,3.0,polyline,Line of Sight,13.293844632169295,15.0,7,1.7228794610451565,0.41822908567636397,59.136212624584715
0,3.0,polyline,Vector Field,22.206668818518345,29.0,4,25.54101909085373,0.38307173530970273,43.18936877076412
0,3.0,polyline,Nonlinear Stabilization,25.121551887964284,0.5,5,13.826859084020533,0.357124594113057,18.6046511627907
0,3.0,polyline,Proposed AI,24.580872436378694,0.5,4,25.087987103927585,0.39220920498655637,28.23920265780731
1,0.0,straight,Pure Pursuit,25.391386987696368,14.0,9,4.1102797537514135,0.14901513022618543,33.5548172757475
1,0.0,straight,Line of Sight,19.723663650520447,13.0,17,3.025070148208437,0.1507485135109301,42.19269102990033
1,0.0,straight,Vector Field,31.641333556113985,44.5,6,7.6360514758867035,0.15041760734650822,21.59468438538206
1,0.0,straight,Nonlinear Stabilization,28.24914007122436,34.5,10,6.092465495128397,0.1508420930756728,28.57142857142857
1,0.0,straight,Proposed AI,25.878304194298888,42.0,5,2.4579096887233867,0.1376696496294004,31.22923588039867
1,0.0,circle,Pure Pursuit,16.27061685903646,12.0,14,1.340336146136174,0.1668834437880371,42.19269102990033
1,0.0,circle,Line of Sight,15.542418593287508,8.0,12,0.20176708086938788,0.15549212556143718,48.50498338870432
1,0.0,circle,Vector Field,20.847185540244414,18.0,9,8.51845095942978,0.1513847808092155,39.8671096345515
1,0.0,circle,Nonlinear Stabilization,21.171592919491562,17.5,10,8.8517497928483,0.14555669615597988,37.87375415282392
1,0.0,circle,Proposed AI,24.13045275354025,19.0,7,10.374136459856826,0.13926224802630682,32.22591362126246
1,0.0,polyline,Pure Pursuit,20.333942685042278,14.0,8,4.686656966018354,0.15775149378254,37.2093023255814
1,0.0,polyline,Line of Sight,12.310640643181731,13.5,12,3.088673309369927,0.15764697932530095,50.83056478405316
1,0.0,polyline,Vector Field,18.713758237397222,20.5,5,11.948311985181443,0.14609754270460856,45.84717607973422
1,0.0,polyline,Nonlinear Stabilization,21.826358495972705,20.5,6,8.383630848817596,0.14767004882774465,41.86046511627907
1,0.0,polyline,Proposed AI,21.065956117741347,15.0,9,5.950955089733061,0.13700788242111903,45.182724252491695
1,1.5,straight,Pure Pursuit,16.387058472974118,8.0,11,0.3254342357892135,0.20210435613693228,48.837209302325576
