seed,sigma,shape,method,mean_dev,adaptation,n_evade,min_dist,mean_energy,success
2,0.5,straight,Pure Pursuit,21.884341178807325,14.0,8,1.7722220752487043,0.15369315291870922,39.202657807308974
2,0.5,straight,Line of Sight,11.383078357643075,13.0,8,2.9911435804677557,0.15624810555493654,51.162790697674424
2,0.5,straight,Vector Field,33.21990675454327,45.0,6,5.568070093661987,0.14649966626643807,20.59800664451827
2,0.5,straight,Nonlinear Stabilization,26.566226929931744,38.0,10,6.184672552287021,0.15255448245112282,31.22923588039867
2,0.5,straight,Proposed AI,31.269121729448198,21.0,6,1.7764545255679849,0.1473037440358523,23.920265780730897
2,0.5,circle,Pure Pursuit,15.720613124197458,8.5,7,3.0218230206156917,0.15859808123223498,43.85382059800664
2,0.5,circle,Line of Sight,17.15693935319021,1.5,12,5.4749567144339215,0.15559210168944582,42.524916943521596
2,0.5,circle,Vector Field,19.835928883390775,18.5,6,15.187225155479547,0.13523064341786534,42.857142857142854
2,0.5,circle,Nonlinear Stabilization,20.63665065654765,20.0,5,11.655973044297973,0.1251465222365926,40.863787375415285
2,0.5,circle,Proposed AI,24.86279396058329,21.5,8,20.20158992377333,0.16525890714283378,25.581395348837212
2,0.5,polyline,Pure Pursuit,18.39613914697239,14.0,7,1.7722220752487043,0.15344761112531294,40.53156146179402
2,0.5,polyline,Line of Sight,11.383078357643075,13.0,8,2.9911435804677557,0.15624810555493654,51.162790697674424
2,0.5,polyline,Vector Field,22.410248738499998,16.5,7,15.059432879339045,0.15175298038262558,31.22923588039867
2,0.5,polyline,Nonlinear Stabilization,19.992310034519853,15.5,7,6.337703501212697,0.1593687416918326,35.880398671096344
2,0.5,polyline,Proposed AI,23.070023973412162,21.0,4,4.4997262128919795,0.11436830215256912,42.524916943521596
2,1.0,straight,Pure Pursuit,28.65730152540184,33.0,7,3.7899381850856155,0.14853103724989675,28.903654485049834
2,1.0,straight,Line of Sight,23.30555443183539,10.5,9,0.7037238706549651,0.14778785509091202,34.21926910299003
